haas_t. saulnier_c. 1
henman_t. golmard_j. 1
hewitt_l. goldstein_p. 1
hill_m. karbacher_b. 1
ilie_a. tarango_j. 1
ivanisevic_g. pioline_c. 1
johansson_t. kulti_n. 1
jonsson_f. diaz_j. 1
kafelnikov_y. knippschild_j. 1
kiefer_n. canas_g. 1
koubek_s. cadart_r. 1
krajicek_r. santoro_f. 1
kroslak_j. lopez-moron_a. 1
lapentti_n. medvedev_a. 1
llodra_m. gaudio_g. 1
martin_t. black_b. 1
mirnyi_m. agenor_r. 1
norman_m. mamiit_c. 1
novak_j. hipfl_m. 1
paes_l. petrovic_d. 1
philippoussis_m. okun_n. 1
portas_a. kuerten_g. 1
pozzi_g. zib_t. 1
pretzsch_a. o'brien_a. 1
rochus_c. costa_a. 1
rosset_m. delgado_j. 1
sampras_p. arthurs_w. 1
schalken_s. blanco_g. 1
schuettler_r. marin_j.a. 1
sekulov_j. ljubicic_i. 1
sluiter_r. gaudenzi_a. 1
squillari_f. sirianni_j. 1
srichaphan_p. kucera_k. 1
stafford_g. safin_m. 1
tieleman_l. martin_a. 1
tillstrom_m. lareau_s. 1
ullyett_k. tabara_m. 1
vacek_d. stanoytchev_o. 1
vanek_j. wessels_p. 1
vicente_f. berasategui_a. 1
vinciguerra_a. gumy_h. 1
voinea_a. spadea_v. 1
woodbridge_t. siemerink_j. 1
woodforde_m. sanguinetti_d. 1
woodruff_c. damm_m. 1
zabaleta_m. mantilla_f. 1
agassi_a. schalken_s. 1
alami_k. llodra_m. 1
arazi_h. jonsson_f. 1
bjorkman_j. vanek_j. 1
black_w. rosset_m. 1
clavet_f. ivanisevic_g. 1
clement_a. lapentti_n. 1
dosedel_s. srichaphan_p. 1
el_aynaoui_y. haas_t. 1
escude_n. krajicek_r. 1
federer_r. kroslak_j. 1
ferreira_w. johansson_t. 1
ferrero_j.c. tieleman_l. 1
fromberg_r. pretzsch_a. 1
grosjean_s. hill_m. 1
henman_t. schuettler_r. 1
hewitt_l. corretja_a. 1
ilie_a. novak_j. 1
kafelnikov_y. vacek_d. 1
kiefer_n. behrend_t. 1
koubek_s. stafford_g. 1
mirnyi_m. dupuis_a. 1
norman_m. pozzi_g. 1
philippoussis_m. sluiter_r. 1
rochus_c. ullyett_k. 1
sampras_p. tillstrom_m. 1
squillari_f. woodforde_m. 1
vicente_f. martin_t. 1
vinciguerra_a. paes_l. 1
voinea_a. portas_a. 1
woodruff_c. sekulov_j. 1
zabaleta_m. woodbridge_t. 1
agassi_a. zabaleta_m. 1
arazi_h. vicente_f. 1
clement_a. federer_r. 1
dosedel_s. squillari_f. 1
el_aynaoui_y. ferrero_j.c. 1
escude_n. vinciguerra_a. 1
ferreira_w. clavet_f. 1
henman_t. grosjean_s. 1
hewitt_l. voinea_a. 1
kafelnikov_y. koubek_s. 1
kiefer_n. alami_k. 1
norman_m. bjorkman_j. 1
philippoussis_m. ilie_a. 1
rochus_c. mirnyi_m. 1
sampras_p. black_w. 1
woodruff_c. fromberg_r. 1
agassi_a. philippoussis_m. 1
arazi_h. escude_n. 1
el_aynaoui_y. clement_a. 1
kafelnikov_y. rochus_c. 1
kiefer_n. ferreira_w. 1
norman_m. hewitt_l. 1
sampras_p. dosedel_s. 1
