lopez_f. petzschner_p. 1.67 2.6
istomin_d. de_bakker_t. 2.1 1.85
berrer_m. sela_d. 2.01 1.91
kubot_l. brands_d. 1.91 2.16
mayer_f. tomic_b. 1.44 3.15
giraldo_s. simon_g. 3.82 1.38
dolgopolov_o. andreev_i. 1.67 2.61
roddick_a. matosevic_m. 1.11 9.05
stepanek_r. kamke_t. 1.42 3.21
becker_b. verdasco_f. 3.5 1.43
berankis_r. clement_a. 1.6 2.73
fish_m. mannarino_a. 1.29 4.5
ebden_m. millman_j. 1.63 2.6
baghdatis_m. serra_f. 1.28 5.32
soderling_r. harrison_r. 1.1 11
mayer_f. berankis_r. 1.68 2.45
giraldo_s. becker_b. 2.38 1.74
roddick_a. dolgopolov_o. 1.27 4.55
anderson_k. lopez_f. 1.69 2.48
baghdatis_m. kubot_l. 1.31 4.35
stepanek_r. fish_m. 2.64 1.7
ebden_m. istomin_d. 3.79 1.4
soderling_r. berrer_m. 1.15 8.91
anderson_k. giraldo_s. 1.63 2.55
roddick_a. baghdatis_m. 1.45 3.26
stepanek_r. mayer_f. 1.72 2.44
soderling_r. ebden_m. 1.07 13.9
soderling_r. stepanek_r. 1.35 3.75
roddick_a. anderson_k. 1.2 6.08
soderling_r. roddick_a. 1.67 2.5
kendrick_r. gremelmayr_d. 1.62 2.65
phau_b. bolelli_s. 1.82 2.15
nishikori_k. cilic_m. 3.4 1.45
robert_s. haider-maurer_a. 2.65 1.65
dodig_i. daniel_m. 1.38 4
tipsarevic_j. schwank_e. 1.29 5.18
kudryavtsev_a. bhambri_y. 1.46 3.04
gasquet_r. roger-vasselin_e. 1.22 5.22
malisse_x. ilhan_m. 1.61 2.65
berdych_t. gil_f. 1.12 10.45
haase_r. dancevic_f. 1.44 3.7
falla_a. machado_r. 1.62 2.8
wawrinka_s. bopanna_r. 1.08 12.7
goffin_d. devvarman_s. 3.21 1.49
sugita_y. brown_d. 2.2 1.85
kavcic_b. chardy_j. 3.94 1.33
berdych_t. dodig_i. 1.14 8.95
kavcic_b. kendrick_r. 2.3 1.77
phau_b. gasquet_r. 6.04 1.2
malisse_x. robert_s. 1.35 4.76
haase_r. sugita_y. 1.29 4.7
tipsarevic_j. kudryavtsev_a. 1.31 4.55
nishikori_k. falla_a. 1.44 3.27
wawrinka_s. goffin_d. 1.13 7.74
malisse_x. phau_b. 1.4 3.75
berdych_t. kavcic_b. 1.11 8.6
tipsarevic_j. nishikori_k. 1.5 3.27
wawrinka_s. haase_r. 1.32 4
malisse_x. tipsarevic_j. 2.58 1.67
wawrinka_s. berdych_t. 3.3 1.55
wawrinka_s. malisse_x. 1.38 3.6
garcia-lopez_g. kukushkin_m. 1.7 2.5
tsonga_j.w. ramirez-hidalgo_r. 1.08 14.5
davydenko_n. fognini_f. 1.25 5.05
marchenko_i. zverev_m. 1.81 2.2
bubka_s. gimeno-traver_d. 4.75 1.33
chiudinelli_m. el_amrani_r. 1.3 4.63
gulbis_e. hanescu_v. 1.45 3.1
gabashvili_t. schuettler_r. 2.55 1.7
veic_a. sabry_s. 1.31 4.52
federer_r. schoorel_t. 1.02 61
nieminen_j. przysiezny_m. 1.33 4
lacko_l. riba_p. 1.36 3.75
kohlschreiber_p. seppi_a. 1.5 2.8
nadal-parera_r. beck_k. 1.02 32.25
troicki_v. stakhovsky_s. 1.45 3.3
karlovic_i. rosol_l. 1.72 2.8
tsonga_j.w. bubka_s. 1.07 15.85
troicki_v. gabashvili_t. 1.25 5
karlovic_i. kohlschreiber_p. 3.05 1.54
garcia-lopez_g. marchenko_i. 1.5 3.15
gulbis_e. veic_a. 1.17 11
federer_r. chiudinelli_m. 1.04 26.81
nadal-parera_r. lacko_l. 1.04 36.87
davydenko_n. nieminen_j. 1.37 3.56
tsonga_j.w. garcia-lopez_g. 1.42 3.52
federer_r. troicki_v. 1.22 6
nadal-parera_r. gulbis_e. 1.39 4.02
davydenko_n. karlovic_i. 1.35 4.09
federer_r. tsonga_j.w. 1.17 7
davydenko_n. nadal-parera_r. 3.5 1.41
federer_r. davydenko_n. 1.3 4.7
giraldo_s. gimeno-traver_d. 1.36 3.8
robredo_t. venus_m. 1.1 10.4
kohlschreiber_p. berlocq_c. 1.15 7.89
bellucci_t. russell_m. 1.42 3.35
hanescu_v. anderson_k. 2.7 1.55
granollers-pujol_m. reynolds_b. 2.4 2
mannarino_a. monaco_j. 3.63 1.45
nalbandian_d. fognini_f. 1.18 5.9
petzschner_p. de_bakker_t. 2.58 1.65
kamke_t. riba_p. 1.67 2.69
clement_a. malisse_x. 1.93 2.1
haase_r. cuevas_p. 2.1 2.45
almagro_n. hanescu_v. 1.8 2.5
bellucci_t. robredo_t. 2.05 1.92
ferrer_d. kamke_t. 1.25 5.41
kohlschreiber_p. granollers-pujol_m. 1.44 3.21
giraldo_s. montanes_a. 1.67 2.47
nalbandian_d. petzschner_p. 1.26 4.9
mannarino_a. clement_a. 1.75 2.3
isner_j. haase_r. 1.51 2.96
ferrer_d. kohlschreiber_p. 1.6 2.7
almagro_n. mannarino_a. 1.48 3.36
nalbandian_d. isner_j. 1.5 3.18
giraldo_s. bellucci_t. 2 2.09
nalbandian_d. almagro_n. 1.4 3.71
ferrer_d. giraldo_s. 1.47 3.49
ferrer_d. nalbandian_d. 2.43 1.66
mayer_f. ward_j. 1.17 6
stakhovsky_s. becker_b. 2.2 1.86
dell'acqua_m. lopez_f. 1.58 2.62
andreev_i. chardy_j. 1.95 2.2
gil_f. nieminen_j. 4.9 1.27
chela_j.i. stepanek_r. 3.92 1.4
garcia-lopez_g. guccione_c. 1.4 3.48
starace_p. benneteau_j. 2.4 1.8
seppi_a. istomin_d. 2.38 1.66
gasquet_r. ebden_m. 1.25 5
troicki_v. chela_j.i. 1.42 3.5
gulbis_e. andreev_i. 1.63 2.64
stakhovsky_s. garcia-lopez_g. 2.62 1.62
starace_p. kubot_l. 1.68 2.4
simon_g. gil_f. 1.25 4.5
gasquet_r. seppi_a. 1.45 3.16
mayer_f. dell'acqua_m. 2.39 1.8
dolgopolov_o. querrey_s. 2.46 1.71
simon_g. dolgopolov_o. 1.75 2.4
gulbis_e. stakhovsky_s. 1.59 2.64
troicki_v. gasquet_r. 1.75 2.48
mayer_f. starace_p. 1.5 4.5
simon_g. gulbis_e. 1.95 2.33
troicki_v. mayer_f. 1.57 2.86
simon_g. troicki_v. 1.85 2.28
haase_r. berlocq_c. 1.17 7.12
monfils_g. de_bakker_t. 1.22 8
nishikori_k. fognini_f. 1.55 2.83
kunitsyn_i. przysiezny_m. 2.23 1.8
gil_f. cuevas_p. 3.5 1.44
monaco_j. greul_s. 1.5 3.5
kubot_l. querrey_s. 3.81 1.33
stakhovsky_s. brands_d. 1.25 4.94
fish_m. hanescu_v. 1.5 3.63
mayer_f. davydenko_n. 4.61 1.25
mannarino_a. harrison_r. 1.62 2.62
malisse_x. andujar_p. 1.11 9.65
kohlschreiber_p. kamke_t. 1.35 3.75
federer_r. lacko_l. 1.02 43
montanes_a. brown_d. 1.33 4.01
roddick_a. hajek_j. 1.03 39.75
andreev_i. volandri_f. 1.12 9.6
mahut_n. dabul_b. 1.6 2.64
dimitrov_g. golubev_a. 2 2
troicki_v. tursunov_d. 1.19 5.98
wawrinka_s. gabashvili_t. 1.12 10.15
robredo_t. devvarman_s. 1.25 5
berdych_t. crugnola_m. 1.04 21
almagro_n. robert_s. 1.16 6.75
gasquet_r. dancevic_f. 1.22 5.98
simon_g. lu_y.h. 1.15 8.26
paire_b. cipolla_f. 2.75 1.61
tipsarevic_j. zverev_m. 1.25 5.61
ljubicic_i. luczak_p. 1.41 3.6
verdasco_f. schuettler_r. 1.2 6.5
dodig_i. karlovic_i. 2.98 1.5
djokovic_n. granollers-pujol_m. 1.03 37.45
russell_m. ebden_m. 2.05 2.03
schwank_e. mayer_l. 1.88 2.2
tomic_b. chardy_j. 1.91 2.1
youzhny_m. ilhan_m. 1.11 10.4
garcia-lopez_g. berrer_m. 1.38 3.55
lopez_f. falla_a. 1.57 2.74
kavcic_b. anderson_k. 3.39 1.45
bellucci_t. mello_r. 1.35 3.81
nadal-parera_r. daniel_m. 1.01 91.5
hernych_j. istomin_d. 2.73 1.6
cilic_m. young_d. 1.33 4.2
melzer_j. millot_v. 1.1 12.46
dolgopolov_o. kukushkin_m. 1.49 3.05
riba_p. ball_c. 2.45 1.67
ferrer_d. nieminen_j. 1.19 6.09
giraldo_s. machado_r. 1.16 8.1
dell'acqua_m. sela_d. 1.43 3.3
sweeting_r. gimeno-traver_d. 1.83 2.25
murray_a. beck_k. 1.02 72
marchenko_i. ramirez-hidalgo_r. 1.22 5.58
muller_g. stadler_s. 1.45 3.1
isner_j. serra_f. 1.26 4.63
baghdatis_m. zemlja_g. 1.18 7.55
becker_b. gulbis_e. 3 1.5
stepanek_r. gremelmayr_d. 1.17 6.41
soderling_r. starace_p. 1.03 32.85
raonic_m. phau_b. 1.72 2.6
berankis_r. matosevic_m. 1.36 3.61
seppi_a. clement_a. 1.53 3.03
llodra_m. chela_j.i. 2.2 1.9
tsonga_j.w. petzschner_p. 1.14 7
nalbandian_d. hewitt_l. 2.05 2.32
nishikori_k. mayer_f. 2.93 1.5
berdych_t. kohlschreiber_p. 1.3 4.4
robredo_t. fish_m. 1.92 2.06
stakhovsky_s. kubot_l. 1.68 2.55
roddick_a. kunitsyn_i. 1.05 34
verdasco_f. tipsarevic_j. 1.6 2.72
ljubicic_i. paire_b. 1.19 6.27
gasquet_r. mannarino_a. 1.26 4.9
haase_r. monaco_j. 1.95 2.08
almagro_n. andreev_i. 1.53 2.9
malisse_x. montanes_a. 1.52 3
troicki_v. mahut_n. 1.22 6.23
wawrinka_s. dimitrov_g. 1.38 3.93
djokovic_n. dodig_i. 1.03 41
monfils_g. gil_f. 1.08 12
federer_r. simon_g. 1.06 15.03
dolgopolov_o. becker_b. 1.65 2.53
raonic_m. llodra_m. 2.65 1.61
nadal-parera_r. sweeting_r. 1.02 50
youzhny_m. kavcic_b. 1.17 6.62
tomic_b. lopez_f. 2.39 1.73
garcia-lopez_g. schwank_e. 1.23 5.2
hernych_j. bellucci_t. 3.25 1.43
cilic_m. giraldo_s. 1.42 3.64
tsonga_j.w. seppi_a. 1.27 4.6
ferrer_d. russell_m. 1.05 19.5
isner_j. stepanek_r. 2.43 1.75
melzer_j. riba_p. 1.06 14
soderling_r. muller_g. 1.03 30.25
berankis_r. nalbandian_d. 5 1.27
murray_a. marchenko_i. 1.03 33
baghdatis_m. dell'acqua_m. 2.5 1.75
almagro_n. ljubicic_i. 1.97 1.98
djokovic_n. troicki_v. 1.17 7.05
roddick_a. haase_r. 1.18 7
robredo_t. stakhovsky_s. 2.3 1.76
berdych_t. gasquet_r. 1.53 2.95
federer_r. malisse_x. 1.05 24.8
wawrinka_s. monfils_g. 1.75 2.39
verdasco_f. nishikori_k. 1.55 3.05
soderling_r. hernych_j. 1.02 36.59
raonic_m. youzhny_m. 3.7 1.36
dolgopolov_o. tsonga_j.w. 2.98 1.56
ferrer_d. berankis_r. 1.22 6.5
murray_a. garcia-lopez_g. 1.07 14.62
cilic_m. isner_j. 1.7 2.47
melzer_j. baghdatis_m. 1.97 2.17
nadal-parera_r. tomic_b. 1.03 51.82
djokovic_n. almagro_n. 1.13 9.5
federer_r. robredo_t. 1.03 48.25
berdych_t. verdasco_f. 1.63 2.72
wawrinka_s. roddick_a. 1.91 2.25
dolgopolov_o. soderling_r. 8.2 1.17
murray_a. melzer_j. 1.18 7.2
ferrer_d. raonic_m. 1.27 5.2
nadal-parera_r. cilic_m. 1.13 8.4
federer_r. wawrinka_s. 1.33 4.33
djokovic_n. berdych_t. 1.36 4
murray_a. dolgopolov_o. 1.12 9.95
ferrer_d. nadal-parera_r. 9 1.16
djokovic_n. federer_r. 3 1.53
murray_a. ferrer_d. 1.35 4.5
djokovic_n. murray_a. 1.68 1.6
de_voest_r. galvani_s. 1.36 4.02
greul_s. alves_t. 1.5 2.93
devvarman_s. klaasen_r. 1.8 2.32
przysiezny_m. fischer_m. 1.52 3
raonic_m. lu_y.h. 1.51 3.03
brown_d. serra_f. 2.18 1.86
gremelmayr_d. scholtz_n. 1.47 3
mannarino_a. schukin_y. 1.25 5.57
van_der_merwe_i. robert_s. 3.25 1.65
anderson_k. bohli_s. 1.22 5.81
huta_galung_j. tipsarevic_j. 7.13 1.2
sela_d. roger-vasselin_e. 1.62 2.8
wolmarans_f. sijsling_i. 1.5 3.05
soeda_g. schuettler_r. 2.55 1.68
beck_k. dabul_b. 1.95 2.15
dancevic_f. lopez_f. 3.06 1.44
de_voest_r. przysiezny_m. 2.38 1.77
devvarman_s. huta_galung_j. 1.85 2.27
van_der_merwe_i. brown_d. 2.74 1.7
greul_s. raonic_m. 4.58 1.29
beck_k. soeda_g. 1.69 2.7
anderson_k. sela_d. 1.51 3
mannarino_a. gremelmayr_d. 1.37 3.55
dancevic_f. wolmarans_f. 1.42 3.45
van_der_merwe_i. greul_s. 2.75 1.56
devvarman_s. de_voest_r. 1.72 2.7
mannarino_a. dancevic_f. 2.17 2
anderson_k. beck_k. 1.29 4.5
devvarman_s. van_der_merwe_i. 1.67 2.43
anderson_k. mannarino_a. 1.61 2.75
anderson_k. devvarman_s. 1.27 5.5
ramos-vinolas_a. mayer_l. 2.15 1.85
andreev_i. schwank_e. 1.67 2.43
bellucci_t. volandri_f. 1.2 6.05
mello_r. ramirez-hidalgo_r. 1.63 2.6
andujar_p. luczak_p. 1.72 2.38
robredo_t. gil_f. 1.42 3.85
chela_j.i. aguilar_j. 1.25 5.58
starace_p. capdeville_p. 1.38 3.66
fognini_f. kubot_l. 1.57 2.73
gonzalez_m. monaco_j. 5.5 1.25
zeballos_h. hocevar_r. 1.61 2.55
machado_r. rios_f. 1.11 9.6
giraldo_s. bagnis_f. 1.2 6
nalbandian_d. berlocq_c. 1.18 6
souza_j. cuevas_p. 3.62 1.36
zampieri_c. massu_n. 2.33 1.85
fognini_f. ramos-vinolas_a. 1.3 4.25
gonzalez_m. souza_j. 1.95 2.21
bellucci_t. machado_r. 1.25 4.81
robredo_t. mello_r. 1.25 4.77
giraldo_s. andreev_i. 2.27 1.83
starace_p. andujar_p. 1.45 3.27
chela_j.i. zampieri_c. 1.17 7.38
zeballos_h. nalbandian_d. 5.8 1.19
giraldo_s. chela_j.i. 1.9 2.9
starace_p. zeballos_h. 1.6 2.85
fognini_f. bellucci_t. 2.88 1.55
robredo_t. gonzalez_m. 1.36 4.07
giraldo_s. starace_p. 1.83 2.25
robredo_t. fognini_f. 1.38 3.6
robredo_t. giraldo_s. 1.79 2.35
mayer_f. skugor_f. 1.2 6
lacko_l. ilhan_m. 1.47 3.2
dodig_i. granollers-pujol_m. 1.47 3.04
berrer_m. mektic_n. 1.34 4
stepanek_r. koubek_s. 1.25 5
kavcic_b. zverev_m. 1.51 3.1
petzschner_p. hajek_j. 1.25 9.55
bogomolov_jr.a. veic_a. 2.1 2.3
kunitsyn_i. pospisil_j. 1.4 3.75
brands_d. karlovic_i. 3.5 1.38
marchenko_i. lajovic_d. 1.25 4.7
