de_bakker_t._clay falla_a._clay 1.62 2.79
hajek_j._clay starace_p._clay 3.64 1.4
schwank_e._clay fognini_f._clay 2.14 1.85
garcia-lopez_g._clay rochus_c._clay 1.45 3.25
bellucci_t._clay nieminen_j._clay 1.5 3.09
chela_j.i._clay krajinovic_f._clay 1.18 6.76
hernandez_o._clay marchenko_i._clay 1.52 3.03
almagro_n._clay ventura_s._clay 1.11 9.1
cuevas_p._clay zeballos_h._clay 2.15 1.87
granollers-pujol_m._clay kubot_l._clay 1.75 2.42
greul_s._clay riba_p._clay 2.3 1.78
gasquet_r._clay andreev_i._clay 2.35 1.82
istomin_d._clay robert_s._clay 3.2 1.44
gimeno-traver_d._clay monaco_j._clay 4.27 1.36
chardy_j._clay montanes_a._clay 4 1.35
hewitt_l._clay ilhan_m._clay 1.35 4.25
ramos-vinolas_a._clay russell_m._clay 1.7 2.49
melzer_j._clay lapentti_n._clay 1.95 3
stakhovsky_s._clay zverev_m._clay 2.39 1.87
bolelli_s._clay robredo_t._clay 6.54 1.17
gulbis_e._clay luczak_p._clay 1.42 3.55
martin_a._clay kukushkin_m._clay 2 1.73
lopez_f._clay dolgopolov_o._clay 1.77 2.5
hanescu_v._clay beck_a._clay 1.35 4.15
navarro-pastor_i._clay cuevas_p._clay 4 1.35
almagro_n._clay greul_s._clay 1.18 6.6
soderling_r._clay chela_j.i._clay 1.33 4
de_bakker_t._clay gimeno-traver_d._clay 1.88 2.3
garcia-lopez_g._clay gabashvili_t._clay 1.33 4.3
schwank_e._clay hewitt_l._clay 2.32 1.78
tsonga_j.w._clay hajek_j._clay 1.25 6
melzer_j._clay hernandez_o._clay 1.4 3.57
gulbis_e._clay chardy_j._clay 1.75 2.35
ferrer_d._clay granollers-pujol_m._clay 1.15 7.58
bellucci_t._clay hanescu_v._clay 1.87 2.25
ramos-vinolas_a._clay gonzalez_f._clay 8.36 1.14
ferrero_j.c._clay stakhovsky_s._clay 1.08 11.88
bolelli_s._clay martin_a._clay 1.65 2.65
verdasco_f._clay gasquet_r._clay 1.32 4
lopez_f._clay istomin_d._clay 1.47 3.1
schwank_e._clay navarro-pastor_i._clay 1.4 3.75
bellucci_t._clay garcia-lopez_g._clay 1.43 3.4
ferrer_d._clay bolelli_s._clay 1.1 10.5
de_bakker_t._clay ferrero_j.c._clay 7.03 1.15
tsonga_j.w._clay almagro_n._clay 2.31 1.87
verdasco_f._clay melzer_j._clay 1.2 6.08
gulbis_e._clay ramos-vinolas_a._clay 1.36 3.8
soderling_r._clay lopez_f._clay 1.26 4.68
ferrer_d._clay bellucci_t._clay 1.23 5.53
verdasco_f._clay gulbis_e._clay 1.45 3.25
soderling_r._clay schwank_e._clay 1.17 6.46
de_bakker_t._clay tsonga_j.w._clay 3.75 1.46
verdasco_f._clay ferrer_d._clay 2.5 1.8
soderling_r._clay de_bakker_t._clay 1.22 5.7
verdasco_f._clay soderling_r._clay 2.63 1.65
hanescu_v._clay berrer_m._clay 1.47 3.25
chardy_j._clay tipsarevic_j._clay 1.8 2.2
seppi_a._clay fognini_f._clay 1.51 2.88
lorenzi_p._clay montanes_a._clay 6.1 1.21
isner_j._clay zeballos_h._clay 2.25 1.77
giraldo_s._clay ferrero_j.c._clay 6.5 1.2
kohlschreiber_p._clay cuevas_p._clay 1.4 3.82
gulbis_e._clay baghdatis_m._clay 1.75 2.63
benneteau_j._clay querrey_s._clay 2.85 1.6
starace_p._clay hajek_j._clay 1.73 2.5
garcia-lopez_g._clay chela_j.i._clay 3.27 1.45
monaco_j._clay andreev_i._clay 1.81 2.25
llodra_m._clay beck_a._clay 1.58 2.8
berdych_t._clay granollers-pujol_m._clay 1.26 4.7
ljubicic_i._clay mathieu_p.h._clay 1.41 3.5
volandri_f._clay luczak_p._clay 2.05 2.02
hewitt_l._clay youzhny_m._clay 2.9 1.57
wawrinka_s._clay melzer_j._clay 1.55 2.9
lopez_f._clay becker_b._clay 1.42 3.42
bolelli_s._clay greul_s._clay 1.91 2.41
troicki_v._clay de_bakker_t._clay 2.6 1.68
almagro_n._clay kubot_l._clay 1.2 6
bellucci_t._clay mayer_l._clay 1.53 3.05
ferrer_d._clay korolev_e._clay 1.15 8
hanescu_v._clay monaco_j._clay 2.4 1.74
djokovic_n._clay chardy_j._clay 1.14 8.38
gulbis_e._clay federer_r._clay 5.25 1.25
murray_a._clay seppi_a._clay 1.36 4
soderling_r._clay lorenzi_p._clay 1.08 12.5
volandri_f._clay benneteau_j._clay 2.35 1.85
garcia-lopez_g._clay hewitt_l._clay 2.4 1.73
giraldo_s._clay llodra_m._clay 1.5 3.05
wawrinka_s._clay berdych_t._clay 2.1 1.99
nadal-parera_r._clay kohlschreiber_p._clay 1.03 25
verdasco_f._clay bolelli_s._clay 1.2 6
ljubicic_i._clay almagro_n._clay 2.56 1.7
bellucci_t._clay isner_j._clay 1.45 3.01
tsonga_j.w._clay troicki_v._clay 1.37 4
lopez_f._clay cilic_m._clay 3.5 1.45
ferrer_d._clay starace_p._clay 1.25 5
djokovic_n._clay bellucci_t._clay 1.2 6
verdasco_f._clay garcia-lopez_g._clay 1.31 4.25
gulbis_e._clay volandri_f._clay 1.35 3.75
tsonga_j.w._clay giraldo_s._clay 1.5 3.25
lopez_f._clay ljubicic_i._clay 2.9 1.6
ferrer_d._clay murray_a._clay 1.73 2.41
wawrinka_s._clay soderling_r._clay 2.9 1.51
nadal-parera_r._clay hanescu_v._clay 1.02 46
verdasco_f._clay djokovic_n._clay 2.62 1.68
ferrer_d._clay tsonga_j.w._clay 1.47 3.4
nadal-parera_r._clay wawrinka_s._clay 1.05 18.1
gulbis_e._clay lopez_f._clay 1.5 3.05
ferrer_d._clay verdasco_f._clay 1.91 2.11
nadal-parera_r._clay gulbis_e._clay 1.1 17
nadal-parera_r._clay ferrer_d._clay 1.18 8.8
andreev_i._clay kavcic_b._clay 1.25 5.05
serra_f._clay beck_k._clay 1.2 7
korolev_e._clay russell_m._clay 1.67 2.56
karlovic_i._clay lajovic_d._clay 1.18 6.6
troicki_v._clay navarro-pastor_i._clay 1.3 4.65
ouanna_j._clay cipolla_f._clay 1.95 2
gasquet_r._clay rochus_o._clay 1.25 5.49
fognini_f._clay skugor_f._clay 1.84 2.2
krajinovic_f._clay donskoy_e._clay 1.97 2.1
seppi_a._clay mayer_l._clay 1.88 2.3
di_pasquale_a._clay djokovic_m._clay 1.3 5.11
zeballos_h._clay polansky_p._clay 1.17 5
andreev_i._clay karlovic_i._clay 1.75 2.47
querrey_s._clay korolev_e._clay 1.8 2.4
wawrinka_s._clay di_pasquale_a._clay 1.09 14.05
troicki_v._clay serra_f._clay 1.6 2.63
gasquet_r._clay seppi_a._clay 1.48 3.05
isner_j._clay ouanna_j._clay 1.39 3.55
krajinovic_f._clay zeballos_h._clay 4.55 1.3
djokovic_n._clay fognini_f._clay 1.05 16
isner_j._clay gasquet_r._clay 2.69 1.62
wawrinka_s._clay troicki_v._clay 1.37 4.14
querrey_s._clay andreev_i._clay 2.36 1.73
krajinovic_f._clay djokovic_n._clay 14.08 1.06
isner_j._clay wawrinka_s._clay 4.14 1.32
querrey_s._clay krajinovic_f._clay 1.25 4.6
querrey_s._clay isner_j._clay 1.82 1.75
clement_a._clay kunitsyn_i._clay 2.41 1.75
falla_a._clay chela_j.i._clay 4.15 1.35
tavares_l._clay mello_r._clay 3.25 1.47
granollers-pujol_m._clay hernandez_o._clay 1.56 2.8
martin_a._clay del_bonis_f._clay 2.65 1.6
phau_b._clay lopez_m._clay 2.95 1.55
cuevas_p._clay andujar_p._clay 1.58 2.82
machado_r._clay massu_n._clay 1.5 3.05
gil_f._clay mayer_f._clay 2.53 1.65
garcia-lopez_g._clay malisse_x._clay 1.4 3.73
giraldo_s._clay darcis_s._clay 1.4 3.33
gimeno-traver_d._clay lapentti_n._clay 1.67 2.62
cuevas_p._clay granollers-pujol_m._clay 2.44 1.8
clement_a._clay falla_a._clay 2.59 1.67
montanes_a._clay gimeno-traver_d._clay 1.75 2.5
federer_r._clay phau_b._clay 1.04 18.08
garcia-lopez_g._clay tavares_l._clay 1.21 5.79
martin_a._clay marrero_d._clay 1.44 2.62
machado_r._clay przysiezny_m._clay 1.6 2.5
gil_f._clay giraldo_s._clay 2.5 1.66
montanes_a._clay cuevas_p._clay 1.6 2.75
federer_r._clay clement_a._clay 1.03 24
gil_f._clay machado_r._clay 1.91 2.16
garcia-lopez_g._clay martin_a._clay 1.33 4
montanes_a._clay federer_r._clay 7 1.18
gil_f._clay garcia-lopez_g._clay 2.95 1.57
montanes_a._clay gil_f._clay 1.45 1.36
youzhny_m._clay chardy_j._clay 1.5 3.03
becker_b._clay robert_s._clay 2.75 1.68
beck_a._clay istomin_d._clay 1.95 2.19
petzschner_p._clay benneteau_j._clay 1.95 2.19
berdych_t._clay krawietz_k._clay 1.05 18
baghdatis_m._clay gojowczyk_p._clay 1.12 8.91
hajek_j._clay sidorenko_a._clay 1.57 3.15
koellerer_d._clay ancic_m._clay 4.19 1.6
riba_p._clay lacko_l._clay 1.45 3.12
chiudinelli_m._clay ascione_t._clay 2.15 2.14
greul_s._clay kiefer_n._clay 1.71 2.46
cilic_m._clay berrer_m._clay 1.29 4.9
ventura_s._clay dolgopolov_o._clay 3 1.55
almagro_n._clay vliegen_k._clay 1.15 8
kohlschreiber_p._clay brands_d._clay 1.23 5.53
anderson_k._clay zverev_m._clay 1.9 2.1
hajek_j._clay becker_b._clay 1.67 2.55
petzschner_p._clay koellerer_d._clay 1.53 2.85
berdych_t._clay riba_p._clay 1.13 8
youzhny_m._clay beck_a._clay 1.21 5.25
kohlschreiber_p._clay ventura_s._clay 1.13 9.1
baghdatis_m._clay chiudinelli_m._clay 1.43 3.33
almagro_n._clay anderson_k._clay 1.2 6.25
cilic_m._clay greul_s._clay 1.22 5.3
youzhny_m._clay hajek_j._clay 1.2 5.76
petzschner_p._clay berdych_t._clay 5.25 1.22
baghdatis_m._clay kohlschreiber_p._clay 4.73 1.29
cilic_m._clay almagro_n._clay 1.9 2.14
youzhny_m._clay petzschner_p._clay 1.43 3.6
cilic_m._clay baghdatis_m._clay 1.5 3.1
youzhny_m._clay cilic_m._clay 1.95 1.86
