dimitrov_g. simon_g. 1.66 2.2
kudla_d. smith_j.p. 1.57 2.37
kamke_t. mitchell_b. 1.77 2
chung_h. groth_s. 1.82 1.95
goffin_d. bellucci_t. 1.29 3.56
troicki_v. johnson_s. 2.17 1.67
thiem_d. duckworth_j. 1.32 3.29
stepanek_r. lajovic_d. 1.94 1.82
dodig_i. anderson_o. 1.06 8.73
pouille_l. nishioka_y. 2.28 1.61
kukushkin_m. istomin_d. 2.09 1.71
tomic_b. mahut_n. 1.2 4.42
thiem_d. kudla_d. 1.41 2.85
nishikori_k. kukushkin_m. 1.16 4.99
cilic_m. chung_h. 1.34 3.2
tomic_b. stepanek_r. 1.31 3.4
pouille_l. goffin_d. 4.95 1.16
raonic_m. dodig_i. 1.27 3.69
dimitrov_g. troicki_v. 1.35 3.19
federer_r. kamke_t. 1.06 8.89
raonic_m. pouille_l. 1.18 4.72
tomic_b. nishikori_k. 3.32 1.32
thiem_d. cilic_m. 2.98 1.39
federer_r. dimitrov_g. 1.18 4.76
raonic_m. tomic_b. 1.5 2.57
federer_r. thiem_d. 1.1 6.77
raonic_m. federer_r. 3.89 1.26
millman_j. donskoy_e. 1.56 2.38
pavic_a. almagro_n. 2.88 1.4
coric_b. granollers-pujol_m. 1.42 2.8
garcia-lopez_g. daniel_t. 1.5 2.53
rublev_a. devvarman_s. 1.71 2.12
krajicek_a. ramirez_hidalgo_r. 2.03 1.76
rosol_l. giraldo_s. 1.46 2.68
ramanathan_r. gimeno-traver_d. 1.98 1.8
vanni_l. struff_j.l. 2.09 1.71
muller_g. khachanov_k. 1.34 3.18
fabbiano_t. kovalik_j. 1.53 2.47
bedene_a. pospisil_v. 2.5 1.52
coric_b. krajicek_a. 1.29 3.5
garcia-lopez_g. pavic_a. 1.37 3.02
wawrinka_s. rublev_a. 1.1 6.61
bautista_r. millman_j. 1.3 3.42
fabbiano_t. muller_g. 4.7 1.18
paire_b. rosol_l. 1.53 2.48
bedene_a. vanni_l. 1.37 3.03
ramanathan_r. kudryavtsev_a. 1.85 1.93
paire_b. fabbiano_t. 1.2 4.45
wawrinka_s. garcia-lopez_g. 1.18 4.8
bedene_a. ramanathan_r. 1.18 4.81
coric_b. bautista_r. 2.95 1.39
wawrinka_s. paire_b. 1.2 4.46
coric_b. bedene_a. 1.52 2.51
wawrinka_s. coric_b. 1.13 5.95
dzumhur_d. cecchinato_m. 1.48 2.6
chardy_j. zayid_m._s. 1.01 26.32
edmund_k. klizan_m. 1.75 2.05
djokovic_n. brown_d. 1.01 16.74
haase_r. karatsev_a. 1.52 2.49
munoz-de_la_nava_d. lopez_f. 4.7 1.18
kuznetsov_an. ilhan_m. 1.54 2.43
andujar_p. lorenzi_p. 2.16 1.68
berdych_t. stakhovsky_s. 1.08 7.45
gabashvili_t. bolelli_s. 1.88 1.88
mathieu_p.h. ramos-vinolas_a. 1.81 1.96
marchenko_i. ferrer_d. 8.88 1.06
mayer_l. becker_b. 1.52 2.51
berankis_r. seppi_a. 2.38 1.56
nadal-parera_r. carreno-busta_p. 1.03 12.5
verdasco_f. jaziri_m. 1.38 2.99
chardy_j. mathieu_p.h. 1.37 3.03
mayer_l. andujar_p. 1.29 3.56
marchenko_i. gabashvili_t. 1.86 1.9
djokovic_n. verdasco_f. 1.02 14.73
kuznetsov_an. berankis_r. 2 1.78
nadal-parera_r. haase_r. 1.05 9.67
edmund_k. munoz-de_la_nava_d. 1.32 3.3
berdych_t. dzumhur_d. 1.05 10.18
marchenko_i. chardy_j. 2.93 1.4
nadal-parera_r. kuznetsov_an. 1.02 13.97
djokovic_n. mayer_l. 1.02 15.4
berdych_t. edmund_k. 1.1 6.82
nadal-parera_r. marchenko_i. 1.09 7.03
djokovic_n. berdych_t. 1.08 7.87
djokovic_n. nadal-parera_r. 1.17 5.06
haase_r. andujar_p. 1.43 2.75
young_d. tearney_f. 1.1 6.86
barton_m. johnson_s. 4.75 1.18
de_bakker_t. ramos-vinolas_a. 2.03 1.76
sock_j. estrella_v. 1.11 6.2
pospisil_v. karlovic_i. 1.9 1.86
kohlschreiber_p. becker_b. 1.24 3.9
querrey_s. bedene_a. 1.7 2.13
bautista_r. vesely_j. 1.4 2.87
fognini_f. sousa_j. 1.83 1.95
paire_b. venus_m. 1.11 6.38
rosol_l. garcia-lopez_g. 2.04 1.75
anderson_k. haase_r. 1.37 3.01
bautista_r. young_d. 1.27 3.66
ferrer_d. barton_m. 1.05 9.66
rosol_l. paire_b. 2.02 1.76
sock_j. pospisil_v. 1.61 2.27
fognini_f. de_bakker_t. 1.63 2.23
isner_j. querrey_s. 1.46 2.66
tsonga_j.w. kohlschreiber_p. 1.56 2.4
sock_j. anderson_k. 1.72 2.08
ferrer_d. rosol_l. 1.17 4.79
bautista_r. isner_j. 2.24 1.63
tsonga_j.w. fognini_f. 1.31 3.39
sock_j. ferrer_d. 2.68 1.46
bautista_r. tsonga_j.w. 2.78 1.44
bautista_r. sock_j. 2.19 1.66
seppi_a. istomin_d. 1.74 2.05
sarkissian_a. bolelli_s. 3.14 1.35
thompson_j. klizan_m. 2.28 1.61
cuevas_p. marterer_m. 1.5 2.55
robredo_t. millman_j. 2.09 1.72
gabashvili_t. mayer_l. 2.8 1.42
mahut_n. mannarino_a. 2.08 1.73
dolgopolov_o. bellucci_t. 1.4 2.9
chardy_j. kukushkin_m. 1.71 2.1
muller_g. coric_b. 1.61 2.27
duckworth_j. cervantes_i. 1.64 2.23
delbonis_f. groth_s. 3.51 1.29
dimitrov_g. cuevas_p. 1.19 4.59
muller_g. thiem_d. 2.04 1.75
mahut_n. seppi_a. 2.4 1.56
chardy_j. duckworth_j. 1.35 3.14
gabashvili_t. delbonis_f. 1.35 3.15
dolgopolov_o. sarkissian_a. 1.12 6.05
troicki_v. robredo_t. 1.69 2.13
tomic_b. thompson_j. 1.09 7.24
muller_g. chardy_j. 1.75 2.05
troicki_v. mahut_n. 1.37 3.02
gabashvili_t. tomic_b. 3.89 1.25
dimitrov_g. dolgopolov_o. 1.44 2.72
dimitrov_g. muller_g. 1.41 2.91
troicki_v. gabashvili_t. 1.55 2.43
troicki_v. dimitrov_g. 2.94 1.39
basic_m. haase_r. 2.9 1.4
goffin_d. stakhovsky_s. 1.13 5.86
dzumhur_d. edmund_k. 3.62 1.28
brands_d. estrella_v. 1.38 3.03
nishikori_k. kohlschreiber_p. 1.23 4.15
krajicek_a. wu_d. 1.74 2.07
thiem_d. mayer_l. 1.57 2.37
delbonis_f. karlovic_i. 3.74 1.27
cilic_m. de_bakker_t. 1.07 8.22
donskoy_e. cervantes_i. 1.55 2.43
berdych_t. bhambri_y. 1.01 20.75
herbert_p.h. andujar_p. 1.5 2.54
almagro_n. benneteau_j. 1.25 3.89
garcia-lopez_g. mathieu_p.h. 1.4 2.88
simon_g. pospisil_v. 1.47 2.64
ramos-vinolas_a. coric_b. 3.69 1.27
olivo_r. vesely_j. 5.04 1.16
djokovic_n. chung_h. 1.01 24.99
kudla_d. krajinovic_f. 1.38 2.99
dolgopolov_o. berankis_r. 1.2 4.45
lajovic_d. querrey_s. 3.32 1.32
cuevas_p. nishioka_y. 1.49 2.58
rubin_n. paire_b. 8.92 1.06
halys_q. dodig_i. 5.53 1.14
jasika_o. marchenko_i. 5.48 1.14
dimitrov_g. lorenzi_p. 1.06 8.97
