duckworth_j. mahut_n. 5 1.23
dolgopolov_o. falla_a. 1.33 4
istomin_d. mayer_f. 3.46 1.38
tomic_b. benneteau_j. 1.7 3.1
muller_g. mello_r. 1.44 3.7
simon_g. sweeting_r. 1.3 4.6
baghdatis_m. harrison_r. 1.51 3.15
nishikori_k. stebe_c.m. 1.34 4.3
nieminen_j. levine_j. 1.44 3.25
ito_t. mitchell_b. 1.55 2.8
stepanek_r. ebden_m. 1.68 2.88
giraldo_s. millman_j. 1.33 4.04
petzschner_p. melzer_j. 2.6 1.68
haas_t. matosevic_m. 1.66 2.5
andreev_i. mannarino_a. 2 2.5
murray_a. kukushkin_m. 1.04 28.25
simon_g. duckworth_j. 1.12 8
stepanek_r. nieminen_j. 1.62 2.6
istomin_d. haas_t. 2.15 1.88
giraldo_s. petzschner_p. 2.05 2
dolgopolov_o. andreev_i. 1.47 3.5
baghdatis_m. nishikori_k. 1.67 2.53
tomic_b. ito_t. 1.28 5.1
murray_a. muller_g. 1.13 9
simon_g. giraldo_s. 1.57 2.8
dolgopolov_o. stepanek_r. 2.22 1.82
murray_a. baghdatis_m. 1.33 4.14
tomic_b. istomin_d. 1.35 4.1
dolgopolov_o. simon_g. 2.3 1.8
murray_a. tomic_b. 1.25 5.3
murray_a. dolgopolov_o. 1.2 5.84
bhambri_y. beck_k. 3.5 1.45
sela_d. fognini_f. 1.64 3
dodig_i. vardhan_v. 1.18 6.01
paire_b. riba_p. 1.65 2.5
roger-vasselin_e. prodon_e. 1.36 3.9
sugita_y. rochus_o. 3.4 1.65
hanescu_v. querrey_s. 3.8 1.39
lu_y.h. de_bakker_t. 1.93 2.3
beck_a. pospisil_v. 2.43 1.7
goffin_d. malisse_x. 4 1.65
darcis_s. kavcic_b. 1.73 2.37
soeda_g. gil_f. 1.67 2.75
sela_d. paire_b. 1.61 2.61
raonic_m. hanescu_v. 1.37 3.63
wawrinka_s. roger-vasselin_e. 1.23 4.7
soeda_g. dodig_i. 3.3 1.5
almagro_n. darcis_s. 1.48 3.1
goffin_d. beck_a. 2.22 1.81
sugita_y. lu_y.h. 3.5 1.4
tipsarevic_j. bhambri_y. 1.08 13
raonic_m. sela_d. 1.29 4.6
soeda_g. wawrinka_s. 5.5 1.21
almagro_n. sugita_y. 1.67 3.7
tipsarevic_j. goffin_d. 1.13 7.8
raonic_m. almagro_n. 1.51 3.1
tipsarevic_j. soeda_g. 1.18 6.5
raonic_m. tipsarevic_j. 1.8 2.26
seppi_a. kubot_l. 1.65 2.53
ramos-vinolas_a. tursunov_d. 3 1.52
cipolla_f. al_mutawa_j. 1.03 36.3
troicki_v. rosol_l. 1.23 5.15
bogomolov_jr.a. volandri_f. 1.14 8
becker_b. kunitsyn_i. 2.2 1.93
bachinger_m. bautista_r. 1.7 2.5
gremelmayr_d. starace_p. 2.3 1.85
tsonga_j.w. jaziri_m. 1.06 16.08
karlovic_i. stakhovsky_s. 1.7 2.4
garcia-lopez_g. andujar_p. 1.4 3.36
zemlja_g. bubka_s. 1.6 2.8
youzhny_m. gulbis_e. 1.97 2.05
nadal-parera_r. kohlschreiber_p. 1.13 9
federer_r. davydenko_n. 1.15 13
monfils_g. machado_r. 1.08 11.35
troicki_v. bachinger_m. 1.33 4.4
tsonga_j.w. cipolla_f. 1.11 9
seppi_a. garcia-lopez_g. 1.42 3.31
youzhny_m. karlovic_i. 1.78 2.2
nadal-parera_r. gremelmayr_d. 1.04 26
